repr    K  dim   ratio  object   glass   ghost  F1-mean
-------------------------------------------------------
FULL    -  700      1x   0.694   0.298   0.558    0.517
t       1    1    700x   0.493   0.133   0.044    0.224
t       2    2    350x   0.276   0.186   0.296    0.253
t       3    3    233x   0.127   0.174   0.287    0.196
t       4    4    175x   0.120   0.145   0.267    0.177
t       6    6    117x   0.131   0.126   0.247    0.168
t       8    8     88x   0.131   0.121   0.244    0.166
ta      1    2    350x   0.493   0.133   0.044    0.224
ta      2    4    175x   0.341   0.161   0.348    0.283
ta      3    6    117x   0.287   0.171   0.359    0.273
ta      4    8     88x   0.272   0.172   0.345    0.263
ta      6   12     58x   0.264   0.170   0.338    0.258
ta      8   16     44x   0.261   0.170   0.336    0.256
taw     1    3    233x   0.696   0.124   0.029    0.283
taw     2    6    117x   0.681   0.231   0.400    0.437
taw     3    9     78x   0.658   0.247   0.453    0.453
taw     4   12     58x   0.647   0.249   0.442    0.446
taw     6   18     39x   0.640   0.253   0.432    0.441
taw     8   24     29x   0.641   0.256   0.436    0.444
tw      1    2    350x   0.696   0.124   0.029    0.283
tw      2    4    175x   0.581   0.213   0.301    0.365
tw      3    6    117x   0.422   0.220   0.350    0.331
tw      4    8     88x   0.368   0.192   0.341    0.300
tw      6   12     58x   0.351   0.172   0.334    0.285
tw      8   16     44x   0.344   0.169   0.335    0.283
