repr    K  dim   ratio  object   glass   ghost  F1-mean
-------------------------------------------------------
FULL    -  700      1x   0.694   0.329   0.547    0.524
t       1    1    700x   0.108   0.086   0.054    0.083
t       2    2    350x   0.080   0.125   0.253    0.152
t       3    3    233x   0.096   0.133   0.246    0.158
t       4    4    175x   0.094   0.111   0.216    0.140
t       6    6    117x   0.091   0.097   0.192    0.127
t       8    8     88x   0.090   0.097   0.191    0.126
ta      1    2    350x   0.108   0.086   0.054    0.083
ta      2    4    175x   0.067   0.094   0.282    0.147
ta      3    6    117x   0.083   0.129   0.308    0.173
ta      4    8     88x   0.086   0.145   0.298    0.176
ta      6   12     58x   0.093   0.149   0.295    0.179
ta      8   16     44x   0.096   0.146   0.296    0.179
taw     1    3    233x   0.555   0.176   0.042    0.258
taw     2    6    117x   0.606   0.247   0.424    0.426
taw     3    9     78x   0.582   0.255   0.407    0.414
taw     4   12     58x   0.580   0.253   0.391    0.408
taw     6   18     39x   0.589   0.256   0.390    0.412
taw     8   24     29x   0.595   0.258   0.393    0.415
tw      1    2    350x   0.555   0.176   0.042    0.258
tw      2    4    175x   0.465   0.247   0.309    0.341
tw      3    6    117x   0.436   0.210   0.359    0.335
tw      4    8     88x   0.429   0.151   0.327    0.303
tw      6   12     58x   0.409   0.123   0.305    0.279
tw      8   16     44x   0.403   0.119   0.306    0.276
