tag                ratio  F1-mean  object   glass   ghost
---------------------------------------------------------
none                   -    0.662   0.801   0.380   0.804
1d_cb_K128            5x    0.569   0.764   0.281   0.661
1d_ll_K128            5x    0.544   0.751   0.254   0.628
sp_K2048              5x    0.583   0.725   0.315   0.710
1d_ll_K64            11x    0.585   0.754   0.289   0.711
sp_K1024             11x    0.575   0.702   0.317   0.706
1d_cb_K32            22x    0.530   0.797   0.233   0.561
1d_ll_K32            22x    0.550   0.710   0.297   0.644
sp_K512              22x    0.581   0.708   0.328   0.708
1d_ll_K16            44x    0.560   0.715   0.284   0.683
sp_K256              44x    0.581   0.713   0.331   0.698
1d_cb_K8             88x    0.441   0.765   0.016   0.541
1d_ll_K8             88x    0.509   0.622   0.319   0.587
sp_K128              88x    0.560   0.691   0.329   0.661
